Code	Level	AreaType	Id	Parent	NameKaz	NameRus
111033000	4	2	4	2	Красный Яр а.о.	Красноярский с.о.
111800000	3	3	9	1	Степногор Қ.Ә.	Степногорск Г.А.
111833000	4	1	11	9	Ақсу к.ә.	Аксуская п.а.
111841000	4	1	16	9	Зауыт к.ә.	Заводская п.а.
111845100	5	1	23	22	Шаңтөбе к.	п.Шантобе
113220200	5	2	28	26	Алексеев орманшар	лесхоз Алексеевский
113220400	5	2	30	26	Радовка а.	с.Радовка
113241200	5	2	35	33	Қарасай а.	а.Карасай
113243400	5	2	42	38	Малый Барап а.	с.Малый Барап
113247107	6	2	47	44	Филипповка а.	с.Филипповка
113251200	5	2	54	52	Қайнар а.	а.Кайнар
113253400	5	2	59	56	Подлесное а.	с.Подлесное
113255100	5	2	61	60	Урюпинка а.	с.Урюпинка
111851000	4	2	66	9	Черняков а.о.	Черняковский с.о.
113431180	5	2	73	71	Ақтасты а.	с.Актасты
113433400	5	2	78	74	рзд.102	рзд.102
113435100	5	2	80	79	Анар ст.	ст.Анар
113437200	5	2	85	82	Байдала а.	с.Байдала
113442100	5	2	92	91	Арнасай а.	а.Арнасай
113445000	4	2	97	68	Константинов а.о.	Константиновский с.о.
113445400	5	2	100	97	Шортанды а.	с.Шортанды
113449000	4	2	105	68	Михайлов а.о.	Михайловский с.о.
113451700	5	2	112	109	Қостомар а.	с.Костомар
113630000	4	2	117	116	Астрахан а.о.	Астраханский с.о.
113637000	4	2	124	116	Есіл а.о.	Есильский с.о.
113639700	5	2	129	127	Ягодное а.	с.Ягодное
113640100	5	2	131	130	Жалтыр а.	с.Жалтыр
113645000	4	2	136	116	Қызылжар а.о.	Кызылжарский с.о.
113649500	5	2	143	140	Өрнек а.	с.Орнек
113651000	4	2	148	116	Острогор а.о.	Острогорский с.о.
113651200	5	2	150	148	Қаракөл ауылы	аул Караколь
113655000	4	2	155	116	Ескі Колутон а.о.	Староколутонский с.о.
113656200	5	2	162	160	Бірлік а.	с.Бирлик
113657107	6	2	167	164	Қайнар а.	с.Кайнарское
113833600	5	2	174	172	Шұңқыркөл а.	с.Шункырколь
113841200	5	2	179	177	Макеевка а.	с.Макеевка
113843000	4	2	181	170	Маринов а.о.	Мариновский с.о.
113845100	5	2	186	185	Новоалександровка а.	с.Hовоалександровка
113851400	5	2	193	190	Қосбармақ а.	с.Косбармак
113853000	4	2	198	170	Полтава а.о.	Полтавский с.о.
113853300	5	2	201	198	Титовка а.	с.Титовка
113857200	5	2	206	204	Ащыкөл а.	с.Ащиколь
113863109	6	2	213	211	рзд.87	рзд.87
113867000	4	2	218	170	Ярослав а.о.	Ярославский с.о.
113867300	5	2	220	218	Калиновка а.	с.Калиновка
114000000	3	4	225	1	Бұланды ауданы	Буландынский район
114035100	5	2	232	231	Алтынды ауылы	аул Алтынды
114037000	4	2	237	225	Еркөл а.о.	Ергольский с.о.
114039200	5	2	244	242	Воробьевка а.	с.Воробьевка
114041200	5	2	249	247	Балуан Шолақ атын.а.	с.им.Балуана Шолака
114043000	4	2	251	225	Карамышев а.о.	Карамышевский с.о.
114043700	5	2	256	251	Суворовка а.	с.Суворовка
114047300	5	2	263	260	Добровольное а.	с.Добровольное
114053000	4	2	268	225	Амангелді а.о.	Амангельдинский с.о.
114053300	5	2	270	268	Ортақшыл а.	с.Ортакшыл
114055700	5	2	275	271	Байсуат а.	а.Байсуат
114435100	5	2	282	281	Полтавское а.	с.Полтавское
114439100	5	2	287	286	Бауманское а.	с.Бауманское
114446000	4	2	294	276	Қоржынкөл а.о.	Коржинкольский с.о.
114500000	3	4	299	1	Еңбекшілдер ауданы	Енбекшильдерский район
114520600	5	2	302	300	Пригорхоз а.	с.Пригорхоз
114532100	5	2	307	306	Аңғал батыр а.	а.Ангал батыра
114534100	5	2	314	313	Баймырза а.	с.Баймырза
114537000	4	2	319	299	Еңбекшілдер а.о.	Енбекшильдерский с.о.
114537102	6	2	321	320	Атансор а.	с.Атансор
114539000	4	2	326	299	Заурал а.о.	Зауральский с.о.
114541000	4	2	333	299	Краснофлотское а.ә.	с.а. Краснофлотское
114543100	5	2	338	337	Макинка а.	с.Макинка
114543205	6	2	340	339	Дачи а.	с.Дачи
114544000	4	2	345	299	Мамай а.ә.	с.а. Мамай
114545108	6	2	352	348	Терек а.	с.Терек
114547200	5	2	357	355	Жүкей а.	с.Жукей
114633000	4	2	364	362	Ақмырза с.о.	Акмырзинский с.о.
114635200	5	2	369	367	Байсары а.	с.Байсары
114635400	5	2	371	367	Қызылту а.	с.Кызылту
114637400	5	2	376	372	Новокаменка а.	с.Hовокаменка
114639105	6	2	383	379	Арочное ж.	отг.Арочное
114639111	6	2	388	379	Тұрқалық ж.	отг.Туркалык
114639117	6	2	390	379	Ұсамбай а.	с.Усамбай
114641400	5	2	395	391	Малтабар а.	с.Малтабар
114645302	6	2	403	402	Бригада 4 ж.	отг.Бригады 4
114645307	6	2	408	402	Киізбай 1 ж.	отг.Кигизбай 1
114645311	6	2	410	402	Шәріпқара ж.	отг.Шарипкара
114647100	5	2	415	414	Ақсуат ауылы	аул Аксуат
114653102	6	2	422	421	Арғынбай ж.	отг.Аргынбай
114653107	6	2	427	421	Ойнақ ж.	отг.Ойнак
114653115	6	2	434	421	Тасбақа ж.	отг.Таспака
114655000	4	2	439	362	Еркіншілік а.о.	Еркиншиликский а.о.
114655200	5	2	441	439	Веренка а.	с.Веренка
114657100	5	2	446	445	Сілеті а.	с.Селетинское
114659203	6	2	453	451	Қосшар уч.	уч.Подхоз
114659500	5	2	458	447	Торғай ст.	ст.Тургай
114820100	5	1	460	459	Есіл қ.	г.Есиль
114833104	6	2	465	462	рзд.15 км	рзд.15 км
114879200	5	2	472	17183	Алматы а.	с.Алматинское
114841200	5	2	477	474	Приишимка а.	с.Приишимка
114851000	4	2	484	459	Знаменка а.ә.	с.а. Знаменка
114857200	5	2	489	487	Красивая ст.	ст.Красивая
114857400	5	2	491	487	Ленинское а.	с.Ленинское
114859300	5	2	496	493	Калачи а.	с.Калачи
114867000	4	2	504	459	Орлов а.о.	Орловский с.о.
114873100	5	2	509	508	Свободное а.	с.Свободное
114875100	5	2	511	510	Юбилейное а.	с.Юбилейное
115200000	3	2	516	1	Жақсы ауданы	Жаксынский район
115239200	5	2	523	521	Перекатное а.	с.Перекатное
115243400	5	2	528	524	Тайпақ а.	с.Тайпак
115243503	6	2	530	529	Жирен а.	с.Жирен
115245305	6	2	535	534	Донское а.	с.Донское
115251000	4	2	542	516	Калинин а.о.	Калининский с.о.
115255000	4	2	547	516	Киевское а.о.	Киевский с.о.
115265200	5	2	554	552	Байегіз а.	с.Баягиз
115273000	4	2	559	516	Подгорное а.о.	Подгорненский с.о.
115274000	4	2	561	516	Тарасовка а.о.	Тарасовский с.о.
